Shoe_Link,Shoe_Brand,Shoe_Name,Shoe_Price,Shoe_Color
https://www.backcountry.com/evolv-shaman-lv-climbing-shoe,Evolv,Shaman LV Climbing Shoe,190.00,Beet Red/Slate
https://www.backcountry.com/five-ten-niad-lace-climbing-shoe,Five Ten,Niad Lace Climbing Shoe,150.00,Core Black/Crew Red/Acid Mint
https://www.backcountry.com/trango-oasi-lv-climbing-shoe,Tenaya,Oasi LV Climbing Shoe,184.95,White/Blue
https://www.backcountry.com/butora-endeavor-climbing-shoe-wide-fit-mens,Butora,Endeavor Wide Fit Climbing Shoe,114.95,Moss
https://www.backcountry.com/ocun-crest-qc-climbing-shoe,Ocun,Crest QC Climbing Shoe,84.95,Orange
https://www.backcountry.com/tenaya-masai-climbing-shoe-mens,Tenaya,Masai Climbing Shoe,154.95,Yellow/Red
https://www.backcountry.com/tenaya-tanta-climbing-shoe-mens,Tenaya,Tanta Climbing Shoe,109.95,Green/Black/White
https://www.backcountry.com/scarpa-maestro-mid-eco-climbing-shoe-mens-scr006k,Scarpa,Maestro Mid Eco Climbing Shoe - Men's,146.21,Stone/Light Grey
https://www.backcountry.com/evolv-geshido-lace-climbing-shoe-womens,Evolv,Geshido Lace Climbing Shoe - Women's,180.00,White/Coral/Black
https://www.backcountry.com/mad-rock-remora-lv-climbing-shoe,Mad Rock,Remora LV Climbing Shoe,108.95,Mint/Black/Blue/Gray
https://www.backcountry.com/ocun-jett-qc-climbing-shoe,Ocun,Jett QC Climbing Shoe,119.95,One Color
https://www.backcountry.com/black-diamond-momentum-lace-climbing-shoe-mens,Black Diamond,Momentum Lace Climbing Shoe,99.95,Black/Anthracite
https://www.backcountry.com/la-sportiva-finale-climbing-shoe-womens,La Sportiva,Finale Climbing Shoe - Women's,129.00,Clay/Topaz
https://www.backcountry.com/five-ten-crawe-climbing-shoe,Five Ten,Crawe Climbing Shoe,190.00,Core Black/Ftwr White/Solar Red
https://www.backcountry.com/la-sportiva-genius-climbing-shoe,La Sportiva,Genius Climbing Shoe,164.25,Red
https://www.backcountry.com/red-chili-circuit-vcr-climbing-shoe,Red Chili,Circuit VCR Climbing Shoe,94.95,Brilliant Blue
https://www.backcountry.com/unparallel-flagship-shoe,UnParallel,Flagship Shoe,169.95,Red Point/White Chalk
https://www.backcountry.com/evolv-zenist-climbing-shoe,Evolv,Zenist Climbing Shoe,170.00,Black/White
https://www.backcountry.com/scarpa-drago-climbing-shoe,Scarpa,Drago Climbing Shoe,218.95,Yellow
https://www.backcountry.com/butora-komet-tight-fit-climbing-shoe,Butora,Komet Tight Fit Climbing Shoe,99.95,Mint
https://www.backcountry.com/tenaya-tarifa-climbing-shoe-mens,Tenaya,Tarifa Climbing Shoe,184.95,Yellow/White/Black
https://www.backcountry.com/la-sportiva-theory-climbing-shoe,La Sportiva,Theory Climbing Shoe,199.00,Black/Yellow
https://www.backcountry.com/ocun-nitro-climbng-shoe,Ocun,Fury Climbing Shoe,169.95,Red
https://www.backcountry.com/butora-narsha-wide-fit-climbing-shoe,Butora,Narsha Wide Fit Climbing Shoe,132.99,Orange/Black
https://www.backcountry.com/la-sportiva-tarantula-jr-climbing-shoe-kids,La Sportiva,Tarantula Jr Climbing Shoe - Kids',79.00,Yellow/Black
https://www.backcountry.com/unparallel-sirius-lace-lv-shoe,UnParallel,Sirius Lace LV Shoe,159.95,Red/Black
https://www.backcountry.com/la-sportiva-stickit-frixion-rs-climbing-shoe-kids,La Sportiva,Stickit FriXion RS Climbing Shoe - Kids',59.00,Chili/Poppy
https://www.backcountry.com/scarpa-veloce-rock-climbing-shoe,Scarpa,Veloce Climbing Shoe,174.95,Black/Yellow
https://www.backcountry.com/scarpa-drago-lv-climbing-shoe,Scarpa,Drago LV Climbing Shoe,218.95,White
https://www.backcountry.com/la-sportiva-miura-vs-climbing-shoe,La Sportiva,Miura VS Vibram XS Edge Climbing Shoe,199.00,Yellow
https://www.backcountry.com/butora-libra-climbing-shoe-tight-fit-womens,Butora,Libra Climbing Shoe - Tight Fit - Women's,119.99,Print
https://www.backcountry.com/butora-acro-climbing-shoe-tight-fit,Butora,Acro Climbing Shoe - Tight Fit,174.95,Blue
https://www.backcountry.com/scarpa-quantic-climbing-shoe,Scarpa,Quantic Climbing Shoe,184.95,Dust Grey/Mango
https://www.backcountry.com/scarpa-reflex-v-climbing-shoe,Scarpa,Reflex V Climbing Shoe,118.95,Black/Flame
